title,subtitle,descr,created_at
The most interesting thing about Fernando de Noronha,"","<p>&nbsp;</p>
<p>Fernando de Noronha is an archipelago in Brasil, near Natal (the airport of interest for visitors). It is beautiful, there are things there that do not exist elsewhere. The existence of the fragile ecosystem is made possible by the island's location: it is very far from the mainland, which fact few islands can boast of. <br /><br />Your plane ticket from Natal to Fernando de Noronha is likely to going to be as expensive as from wherever you at to Natal. Yes, this is an expensive place to visit. Because it is so remote, the plane burns a lot of fuel. Because the place is not as popular as, say, Paris, the prices are way up.<br /><br />Another interesting thing is that the Brazilian government sets the restriction on the number of tourists that can be on the islan (500 at a time I believe) in order to preserve its ecosystem.<br /><br />The most interesting thing, however, is that this island used to be a prison. Again, because it is so remote... Kind of like Alcatraz, but much much more intense. So, they used to go to great lengths to put prisoners there, and now it is one of the top world tourist attractions, expensive, luxurious, exquisite, rare.</p>",2012-07-24 12:40:19 UTC
We stand tall because we are proud. This is Jo’burg.,"","<p>&nbsp;</p>
<p class=""MsoNormal""><span style=""font-family: 'Arial','sans-serif';"">The binary of wealth and warmth sets up this dual partnership throughout the townships, suburbs and city life. Johannesburg represents an entire population that conglomerates the past, present and future, constantly finding an innovation that works for the diverse communities that have settled on this land. This is the land where Huguenot housing placed important status on Dutch influences and Afrikaans roots. This is where the Khoisan (ethnic African hunter and gatherer types) collided with the Boere to battle against the origin of land and resources. Who does what belong to? Who came first? Over here, all that matters is the next step. </span></p>
<p class=""MsoNormal""><span style=""font-family: 'Arial','sans-serif';"">Welcome to Gauteng- the city of gold, companionship and worth, where our way of being is reversed and substituted with development, building and westernised fronts. Here a nation speaks 11 official languages, each one brought to life with their different customs. Traditionally, we share what we know. Unity in Johannesburg is subjected to the way we interpret our past. We no longer choose to divide and conquer, separation of race, class and ideals are scrapped. We stand tall because we are proud of what we have accomplished.</span></p>
<p class=""MsoNormal""><span style=""font-family: 'Arial','sans-serif';"">Sub-cultures stem off the streets while high-end corporate executive officers fund their understanding and vision. We all fight to earn a buck, whenever the possibility and opportunity presents itself. Johannesburg is South Africa&rsquo;s Europe- fighting the fight to rank a first world status. Our entertainment and hospitality standards intertwine culture and consideration. Finding innovative spaces to explore and work with make our entertainment more like art. The city is full of new audiences always finding light within what the values represent-success and creativity. This rat race is not only about eagerly upping the cash flow, its politics stand well corrected by society and comedians worldwide who are wittingly amused for a podium to protest and perform on. There is never a dull moment. The city cannot sit still.</span></p>
<p class=""MsoNormal""><span style=""font-family: 'Arial','sans-serif';"">With a congestion of people scattered around office buildings, these markets, museums and theatres help complement the <em>Jo&rsquo;burg</em> skyline, this urban brewing creates the collection of unusual, pronounced and different people. We are a people, a nation, a community of all sorts, and it shows in all we do. The arousal of this city is due to its depth. Never judge something evolving here until you have experienced it. Being the largest man-made forest</span><br /><!--[endif]--></p>
<p class=""MsoNormal""><span style=""font-family: Arial, sans-serif;"">the world has ever conquered, Johannesburg increases the oxygen when office air becomes stale. This city is not mine, yours or theirs. It belongs to us- always welcome to foreigners and open to communities for contribution and stories. So come and explore. It will change your perspective on the world we live and interact in.</span><span style=""font-family: 'Arial','sans-serif';"">&nbsp;</span></p>",2012-07-24 08:00:31 UTC
Freebies in DC,"","<p>&nbsp;</p>
<p>To start off with, I decided to join some early-bird queues to watch the daily and weekly performances that had on offer. This particular Sunday had an event at Meridian Hill Park. The weather explored raindrops, but immediately cleared up the afternoon for a drumming circle. African nomads in a park, in Washington, on a Sunday, who would have thought? As I listened to the drum beats and watched individuals join in, I managed to find a stranger to dance in circles with. Boy- was I happy. I can&rsquo;t remember the last time I was consumed by a drumming circle. I was even offered my own drum to join in the beat, and until early evening, I managed to keep my rhythm going. This was matched by another free performance of lyrical jazz duets and slam poetry positions at Stage&nbsp;the next evening. I didn&rsquo;t mind going alone because I knew how responsive these Americans were, even though I doubted it at first. I even got up to recite my own words, clicks and shakes were welcome, the people were so supportive. In two days, I managed to feel the vibe of the city without its historical connotations. I plan to visit Rock Creek Park for a tour of the night sky tomorrow, and for the next day, I will check my list out. All I know is I am definitely looking forward to the next few days.</p>",2012-07-03 19:20:39 UTC
New York: Island Metropolis,"","<p>&nbsp;</p>
<p>New York is one of the greatest places in the world to visit! It is truly the center of American culture. Some of the best television shows made in America are filmed in New York City! If you are a fan of &ldquo;The Daily Show&rdquo; or &ldquo;Late Night with David Letterman&rdquo; for example, think about waking up early and getting in line so you can be in the studio audience! If you're looking for a chic party experience in New York City, think about going to Dream Downtown and partying until dawn. The ground floor of the building is a dance club that has been known to bring in some DJs of incredible quality. One of the coolest things about Dream Downtown is that it is also a hotel. Consider this place to be your base of operations! The floor above the dance hall even has a fantastic restaurant with a celebrity chef! If you are a fan of rap and hip-hop music, I would suggest visiting S.O.B.'s. Despite the colloquially vulgar name, this night spot features some of the best young and up-and-coming rappers in the country. Some of the most popular rappers out today got their start here. If you want to soak in the urban culture for a night and experience some ridiculously talented lyricists (and your sensibilities aren't easily offended), S.O.B.'s is where I suggest you go. For a relaxing afternoon to escape the hustle and bustle that is apparent in the majority of town, visit Central Park and lie in the grass and have a picnic with a loved one. I still remember the first time I set foot in the park and took in the sight. It's an amazing thing to be is such a beautiful, green oasis completely surrounded by elegant high-rise buildings. It's easier than you think to book tickets for a fabulous Broadway show and experience classic American theater productions, such as the recently performed Waiting for Godot, featuring Nathan Lane and John Goodman. Perhaps you want to catch something new and Avant-Garde? There are a lot of off-Broadway productions that provide unique, quality productions at more reasonable prices. Who knows? Maybe you might catch the next big star performing in one of these smaller theaters! One of the most unique bars that you can visit in the city is Crown Victoria. This is one of the most famous outdoor bars in all of New York City. It's the perfect place to casually drink some beers or sip some martinis as the sun does down and the breeze begins to whip through the city streets. There are even fun amenities like table tennis and badminton courts. Who would have thought there was a bar where you could drink while playing badminton? They also have some fantastic food and drink specials which will help you keep a little change in your pocket as you explore the city. If you do have some money to burn and you have some expensive tastes, hit up Madison Avenue! There are blocks and blocks of stores on this street, many of which are flagship stores for some of the most elegant brands in the world! It might be worth it to splurge on a couple of accessories on Madison Avenue, just to say you've shopped where the most fashionable people in the world go to shop! You could spend a lifetime in New York city before you've discovered all the fun you can have here. I can't wait to go back!</p>",2012-07-03 11:53:16 UTC
Berlin rocks!,"","<p>&nbsp;</p>
<p>If you're looking for a place to chill out during the week and have a few drinks, Fuchs und Elster is a great spot to consider. Even though it can get a little crowded, it's still a great place to hang out for some cheap drinks and some time to just talk to your friends and draw up your next plan to adventure through the city. Come the weekend though, the cellar of the bar becomes a pretty fun club to visit, featuring soul and funk music, and the party tends to last all night. If you want to be a part of the German soccer experience be sure to plan a day around football at Alte F&ouml;rsterei stadium, home of FC Union Berlin. Get in the mix and have a damn good time, but remember as a tourist to be sure to root for the home team; you don't want to get yourself into trouble with the Berlin's fervent fans. You are a guest! If you consider punk rock and indie music your thing, I highly recommend the Magnet Club. It gets some really entertaining punk and alternative acts from around the world in addition to being a thriving spot in Germany's indie and punk scene. The venue has two stages and even if there isn't a band rocking out there is sure to be a dance party rocking. Club Lido is another great place that focuses on rocking out. The primary types of music that play here are Rock and Electronica. Expect a crowded atmosphere with bright lights and blaring sound to take you out of yourself for an evening as you experience some amazing European and German acts perform intense yet ambient music for fantastic audiences. During off periods, it's also a great place to catch a football game with some gregarious fans. For an elite, world-class orchestral experience, go watch the Berlin Philharmonic perform. Even though there is so much great musical culture in the city, and the punk, rock, jazz, and electronica acts are top-notch, nothing really compares to sitting at the Philharmonie and watching some of the most talented human beings on earth perform their craft to an adoring audience. For casual drinks and dinner, be sure to visit one of Berlin's famous Beer Gardens. The oldest of these that is still in operation is the Prater Garten. If you are looking for a more casual yet refreshing atmosphere, this is the place for you. It offers beer and drinks from noon on and dinner later in the evening, and having a beer in the Beer Garden is one of the most relaxing experiences you can have in the city. There is so much to do in Berlin and this just represents the tip of the iceberg. Be sure to schedule a lot of time here, because there is no limit to the adventures you can have in this affluent international capital.</p>",2012-06-28 08:31:56 UTC
Prague in the Summertime,"","<p>&nbsp;</p>
<p>Prague is one of the most satisfying places to visit in Central Europe. It really has everything to offer, especially if you are into any kind of nightlife. One of the most popular destinations when visiting Prague is making the tour to Pilsen to visit Pilsner Urquell brewery, home of the oldest Pilsner beer in the world. This brewery was established in the 13th century and is still in operation. The classic Pilsner Urquell that you've tried at your local bar is nothing in comparison to the home brew, and there is just no excuse not to go. There are also brewery tours in the city that take you to the many brewpubs across the city of Prague itself. It really is a beer-drinker's paradise. If you are into the club scene, one of the best spots to visit is Karlovy Lazne, which is a huge club that is located close to the Charles Bridge. When you step in and look around your mind will be absolutely blown by the size of this place. It's the biggest nightclub in the entire region and it is always packed from floor to ceiling, especially in the cool, crisp air of the Czech summers. If you're more into a relaxing bar experience that will really suck you in, visit the Cilibar. As opposed to the electric air of the Prague nightclubs, this bar, and ones like it offer a relaxed atmosphere with great drink prices and even better tasting martinis. It is easy to get lost in the haze of this amazing bar and leave much later than you were ever expecting. For a more laid back experience after nursing that Central European hangover, visit the awe-inspiring Prague Zoo. This is one of the oldest, maintained zoos in Europe and has been recently recognized by Forbes magazine as one of the greatest zoos on the planet. Tigers, lions, polar bears, and giraffes, among hundreds of other animals, roam their enclosures across the fascinatingly beautiful landscape. Prague has a lot more to offer than most people would think. It is an entertaining, vibrant city with rich history and a really jumping night life. I would recommend it to anyone wanting to visit the region, and once you're on the streets, it's friendly to any budget.</p>",2012-06-28 07:34:50 UTC
"Camden Town, British Boondocks in London","","<p>&nbsp;</p>
<p>The market is cluttered with around 200 stalls pawning off second-hand stories, vintage is a core word used around here. All eyes are clued up on the best bargains on jewellery, furniture and clothing. Naturally, my clothes fetish increased while walking through the market imagining swimming in the capacity of thrift goods surrounding me. Even though the cold hisses and spits its rain, and the miserable cold and grey undertones to the scene, Camden breathes with creativity. On the outskirts, people-watchers stand by, with cameras and snacks in hand, and watch as every outrageous and expressive individual walks by. It&rsquo;s as if London was born for outcasts to develop. Their style evolves as rapidly as their drinks are poured. Draughts during the week days are common. If you don&rsquo;t have a skill and have come to live the London life, a bar will take you in instantly. There begins the weekly pay for entertainment. The youth are never stagnant or stuck, because transport is so available. The Tube and bus system are organised for people to get around when need be. This is greatly useful for people&rsquo;s party ethics. While the transport is going on, and being attended by a large percent of their population, their asset is getting to and fro. Public transport is definitely a plus. Music has its own culture this part of Britain. Individuals flock to bars and clubs for concerts, tickets are yearned after. That is why barmaids and patrons work for their piece of tuppence per night shift, in order to purchase a ticket to their favourite gigs weekly. I jumped on that route when visiting. I managed to watch Crystal Castles and Santigold in the time I was there. It shook my world around knowing that music was so close to my surroundings. I definitely needed to visit London once a year. The reason I came to London was to visit a couple of friends who were living here. Yes, I came as a tourist, but in my own right, I felt part of the Brit crowd that live day in, and out in this city. I enjoyed every last bit of London town, the culture sucks you in and excites you, even when you run out of toilet paper at home.</p>",2012-06-27 02:57:47 UTC
"Havana, Cuba","","<p>&nbsp;</p>
<p>I was a part of a tour group during my stay, and witnessed the heritage sites during the day. The Vi&ntilde;ales Valley was found after the expansion of tobacco cultivation. I kept my nostrils flared trying to breathe in the smell of fresh tobacco, but the cliffs leading into the valley didn&rsquo;t look as safe as I wanted them to be, so I chose stability instead. This site was known for military placements in the Cuban War of Independence, as well at the Cuban Revolution. Che Guevara came up a lot; his iconic stance has really been embraced by the world today. On one of the days out, I learnt that Havana was founded by Spanish colonists. The city was built in the Baroque and Neoclassical styles, which are seen through the city. Its beauty is embraced by all who live in it. At night, I needed my space. Early evening strolls had become a favourite of mine. When I stepped out of my lodgings, I never knew what would happen or who I would run into. I always found myself using the pathway to the sea known as the Malec&oacute;n. It made me think of the old pirates capturing natives who hid behind barrels trying to steal food and woman from the ship&rsquo;s docking days. What I would do to encounter a hostage situation with a Latin pirate off-shore. The Captain would take me to sail through the seven seas. He would eventually allow my liberty and let me join forces with his crew. Anyway, side thoughts aside, Havana captured me. I am definitely coming back to explore some more.</p>",2012-06-21 00:00:00 UTC
"Buenos Aires, Argentinia","","<p>&nbsp;</p>
<p>My family are footy fanatics, so when given tickets to watch a game at their &lsquo;la bombonera&rsquo; stadium, I had to accept. The fans, also known as &lsquo;hinchas&rsquo; have a massive amount of enthusiasm for their soccer players. Being part of a community that puts all their energy into supporting their local sports team made me feel really good. My friend and I cooed at the boys, who are ridiculously handsome. I finally saw the appeal of a soccer player doing his thing on the field. Their swift athletic moves keep everyone interested. I have never been more amused to watch a ball be passed up and down the field. They are fierce. Watching a live match made me understand the hype Argentineans&rsquo; associated with soccer. I finally got it, and I had no judgement attached to it. I was glad I came to find the origin of this culture. It really captured the enigmatic qualities I had hoped I would find. Next visit, I plan to watch another game, it brought out a great energy in me.</p>",2012-06-21 00:00:00 UTC
Albuquerque,"","<p>&nbsp;</p>
<p>Upon arrival in Albuquerque, visitors will quickly notice the Sandia Mountains that dominate the skyline. This is where the adventure truly begins for visitors. The Sandia Mountains feature towering mesas, deep canyons, and vast lakes. Hiking trails guide visitors along the mountain range and ski resorts are available throughout the winter season. Visitors may also tour the Sandia Mountains via the Sandia Peak Tramway. At 2.7 miles long, the tramway provides a unique and surreal view of the mountain range thousands of feet above the ground. Riders often rave about the experience of flying through clouds beside some of the state&rsquo;s highest peaks. Ballooning is a popular activity in Albuquerque and one that is sure to offer visitors the thrill of a lifetime. The city&rsquo;s mild, arid climate and unique natural landscape make it the ideal location for hot air balloon rides. Balloon tour guides can be found throughout the city and New Mexico. Balloon Fiesta, the world&rsquo;s biggest festival for hot air balloon enthusiasts, is held annually during early autumn. Visitors will find some of the most affordable prices in the country for balloon rides in Albuquerque. After a day of enjoying outdoor adventures, Albuquerque offers visitors a unique flavor of city life. Fine restaurants reflect the city&rsquo;s cultural blending by offering a number of dishes with historical and international influence. Spas and old west saloons offer adults a chance to relax and unwind, while the city&rsquo;s zoos and theme parks bring families together. When the sun goes down, the fun continues with luxurious casinos featuring all-time favorite gambling competitions and clubs that offer the latest in style and music. Some of the biggest names in Albuquerque entertainment will even offer visitors a free ride from one of the many affordable hotels to their establishment. Albuquerque&rsquo;s history spans even further back that the nation&rsquo;s in which it resides. The Native Americans have called this region home for many years, and their influence can be seen and felt throughout the city. Ancient ruins remain throughout the surrounding area and mountains, providing a look into the life of ancient civilizations that resided here before. Many residents continue the traditions of their ancestors by providing visitors with pottery making classes, ancient celebration practices, and much more. The art and architecture featured throughout Albuquerque also reflects the rich history that helped build this sprawling city. And visitors may travel the historic Route 66 on the way to their favorite attractions.</p>",2012-06-19 00:00:00 UTC
A (Roma) adventure.,"","<p>&nbsp;</p>
<p>I came back to reality when my food was placed on the table. My first bite was overwhelmingly good. My mood shifted from a lost to found state. I am so content in this moment. I am ready to savor the food in front of me as a companion. I wasn&rsquo;t able to finish this rectangle delight of cheese and bread duo, so I downed the rest of my wine, paid my bill, and looked up for inspiration. The Torre dei Lamberti was calling my name. Now that my stomach was satisfied, I wanted my eyes to have the same feeling. I shoved my backpack behind me and started making my way to the top. I decided to save my Euros for food and brave the stairs. After a half hour, I reached the top. Wearing a proud smile on my face, I walked to the ledge to take in the dazzling view of Verona, and knew that taking this step was all I need.</p>",2012-06-18 21:31:30 UTC
Weak for Paris,"","<p>&nbsp;</p>
<p>I was told tales of the rude inhabitants the French people conveyed. I prepped myself for the tone I would receive. I learnt French to counteract that. In the time I had started saving, I took up French audio lessons. I was adamant to have a conversation in their native language. The language barrier was no more, this entailed being part of their society, instead of repelling it. I visited the Louvre. I was completely taken aback by the Parisians commentary on the glass pyramid structure in front. They were never impressed with the modern context of it. After a five minute chat with a Parisian art collector, I acknowledged their arrogance in the culture and switched off my intellect for Paris. Instead of belonging, I opposed everything. It made those intoxicating nights wittier, having a collection of opinions. Debating became my favourite act to meander while there. En route to the infamous tourist attraction, I was amazed to find out that the Eiffel Tower was made entirely out of scrap metal, from start to finish. Startled by the height at first, we made our way to the top, which closed as we arrived, due to the weather conditions. We settled on the middle view, and by George, it was magnificent. This city could never be mundane. It glows. It&rsquo;s alive, and it was all mine for a month to fall in love.</p>",2012-06-18 00:00:00 UTC
Dancing with Vancouver,"","<p>&nbsp;</p>
<p>As soon as I arrived to Stanley Park, the trees caught my attention. With an approximate of 150 000 trees surrounding this piece of land, my lungs attached themselves to the abundance of oxygen that nature enhanced, and then fuelled up with fresh air. I lay down. While the clouds scattered the sky, the sun&rsquo;s appearance was warm and majestic. The weather here made me feel whole and new. This sun was consuming me. Back home in London, sun was a moment of freedom. This moment felt like a generation of new life. After taking a lengthy stretch, I moved towards a path that I saw from the corner of my eye. Moving towards the Brockton Oval Cricket Pitch, I saw the eight Totem Poles gathered together. I moved in really close and stared them down. Spirits of ancient tribes were trapped in an animalistic character, and I was trapped in their stories. These monuments all have an individual connection to the land, all full of history and culture. I took my moleskin out and created my own narratives. I just happened to be in the park the same day as &lsquo;Dance as Dusk&rsquo; was scheduled. I was thrown into an array of people leading me in lines and circles to traditional folk music. No partners were needed. Strangers made the effort to join in. I was thrilled, and lucky to have been there at the right time, right day. To this day, I still use my trusted point-and-find method.</p>",2012-06-18 00:00:00 UTC
Announcing the Winner of the Writing Contest 2011,"","<p>&nbsp;</p>
<p>Congratulations to Ashutosh Ratnam, of postcardsfromparanoia.blogspot.com, who won 2011's Infinite Shelter writing contest! As the 1st prize winner, Ashutosh received $100 and kudos / recognition from us and our readers. Good job Ashutosh! Stay tuned for next writing and photo contest announcement! ;-)</p>",2012-06-13 00:00:00 UTC
Like two water drops are similar,"","<p>In the raging 90's I had a job on the side, fixing electronics for friends and friends of friends. Me being an engineer and knowing the craft, the side gigs allowed me to get by the decade of recession relatively easily (Translator's note: the Russian economy and politics of the 90's were crazy, that's why they are dubbed ""raging 90's""). I mostly worked at this small village that was close to a big city, yet did not have any repairs / customer service for the electonics. This allowed me to pretty much own the market there. Although I had to walk 12km to get there, eventually I bought a bicycle and got to be quite efficient. I would take the train, then bike it 12km there. (Translator's note: commute in Russia is nowhere like commute in USA. A bicycle on the train is a rarity.) In this village I got to know this one dude really well, sometimes I would even sleep over at his house if I finished work late. He had grown-up kids: the older sister was a police capitain, and two younger brothers, twins, where just about to graduate from the local polytech college. (Google map http://bit.ly/z1GBHR). Them being twins, I could not for the life of me tell the difference between them, but they weren't upset. Eventually they also provided me some work, mostly referring their friends, for me to fix their boomboxes. (Translator's note: a boombox would in those days be perhaps the most advanced electronic device owned by anyone in a remove village.) Once the twins finished college their sister hooked them up with the police. In the raging 90's it was hard to get a job anywhere, so they were fortunate for their sister's connections. One went into OMON unit, another went into the homicide unit. (Translator's note: OMON is the police unit chiefly concerned with managing then-common protests, demonstrations, and other urban events.) A mere year later I could easily distinguish the twins. The guy in the OMON grew some muscle and became this characteristic strongman. The guy in the homicide unit, on the other hand, became bleak, sad and sick-looking. Their father complained to me: the first son gets to be on the open streets all the time, has everyone's respect in the village, even bought a car (then-rarity in Soviet Russia). The second son, however, has to deal with corpses every day, gets no perks and no recognition at all. And hence, two twins who were at first indistinguishable to me, became quite different due to the nature of their work.</p>",2012-02-03 20:06:32 UTC
A Face Crime,"","<p>Evening time, I'm riding the railcar home, listening to my iPad. I customarily put the volume very quiet so that I can hear what is going on around, but people around me perhaps assume that I cannot hear hem. Two women sit next to me and discuss my appearance, trying not to make it too obvious. They giggle as they discuss my jacket, hoodie and hat. I look out the window with my poker face on. Then one of them says to another: ""look at his happy snout, he is probably coming back from a hooker!"" At that moment I couldn't resist and looked her straight in the eye. The two women got embarrassed, stopped talking about me and stepped off the railcar shortly after. The funny thing is, I was actually coming back from my mistress to my family! So the two women, although did not know, were right. And now I am seriously considering what they say about the benefits of eating a lemon after the love joys.</p>",2012-01-31 06:26:36 UTC
Old mans secrets,"","<p>&Acirc;&ldquo;As you may know, - he replied &Acirc;&ndash; young folks usually go to parties in evening. And guys always accompany girls home. Through central street, of course. If you walked together once &Acirc;&ndash; it means nothing. If twice &Acirc;&ndash; it is a kind of a reason. And if you were seen together for three times, you are unofficially recognized as fianc&Atilde;&copy;. So once I have accompanied a girl. We were talking when I had felt that she was getting her hand away. I was misunderstood. In a moment I saw that I was going directly into a puddle, but hadn&Acirc;&rsquo;t turned away. She had skirted the water and held my hand again. The next puddle was chosen specially. She had repeated her turn. The next day I went with another girl in the same way. And she behaved similarly, skirting the puddles. The situation repeated in a day. I went with the third girl talking to her and she held my hand strongly. I stepped into the water and she followed me, listening carefully. She hadn&Acirc;&rsquo;t mentioned the puddle. Then I went to another one which was deeper. No changes, she was still following me. We stay together since that time, living in peace and love&Acirc;&rdquo;. Everybody stood with their mouths wide open. Those ones, who are older, asked granddad why he hadn&Acirc;&rsquo;t told about it earlier. So they may know how to choose a wife and be happier.</p>",2011-11-10 08:00:00 UTC
In time of war,"","<p>Year 1942, city Stalingrad (CCCP). Nazis are preparing an attack by tank echelon, with the intent to cut off the Soviet partisan forces from Volga (a river, a supply route). The only way to stop the Nazis is to blow to shits a warehouse, as found by the the Soviet reconnaissance, where the attackers kept tank fuel. The generals issue an order to destroy that warehouse. Colonel, commander of regiment RE-2, understands well why the order is issued to him: he has the only remaining dive-bombers on this frontier... but the dive bombers have not returned from the last mission. Yet the Colonel must comply with the order. The only flying machine under the colonel's command is a ""??-2"", a plane designed for transporting mail and antiquated by every measure. Its payload is 200kg at most, whereas the bomb necessary to blow up a military warehouse - fortified for the war - needs to be heavier. The Colonel orders the regiment'm mechanic: ""Hang a `pyatisotka` on external locks."" A pyatisotka weights half a ton. ""The locks will break... The plane won't get off the ground."" - Colonel's comrades express their opinions. ""This is an order."" ""And who will fly it?"" - they ask him. They well understand that this is a suicide mission. ""Bring me a headset and a parachute,"" he answers. ""You cannot fly, Colonel."" - the mechanic tries to talk him out of it. ""No, to fuck with the parachute, its just extra weight. Just bring me some vodka."" * * * The plane, rumbling on the last breath, by miracle takes off and, not even trying to gain altitude, sets course for the enemy's lines. The plane due to overload is barely controllable, it cannot fly straight but rather tries to swirf sideways, it near turns upside down and loses balance. But the Colonel is a true ace, and he continues stabilizing the plane's course for 40 minutes, until he near reaches the target. Twice on his way the enemy's fighter jets fly over him, but they either did not notice him or thought that it is not a plane, but rather a truck or a cart. Close to the target, the plane's engine works on overdrive. Smoke comes out, the engine overheats, and it destabilizes more and more. On the ground, the enemy anti-aircraft defence stands by but they do not make a move, do not fire. However, the Colonel doesn't pay much attention to them, he is busy. The plane's engine is failing. Here is the last hill, here is an entrance gate, another warehouse, almost there... The Colonel pulls the release trigger. The bomb falls, explodes. The plane jumps up, regains stability, and begins to fly away. The anti-aircraft opens fire, but it's too late and the Colonel is now too far. Mission accomplished: the warehouse burns to the ground. A german commander personally arrived to that warehouse to see why the anti-aircraft did not open fire. For him, this was a high-value object and he spent quite a bit of resources - troops, fighter jets - protecting it. The crews of all anti-aircraft dots said the same thing: they thought it was a plane going down, it was making saltos in the air, it was burning up and smogging all over... planes do not fly like that. The Colonel, upon return, got issued a reprimand by disobeying the bylaw prohibiting him from flying missions. Marshal Timoshenko, commander of the Stalingrad frontier, issued the reprimand, then shook the Colonel's hand, hugged him and customary kissed three times on the cheeks.</p>",2011-11-03 07:00:00 UTC
